,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
Stock changes,1964,704,0,0,0,-476,0,0,0,0,0,0,0,0,0,228,0,704,-476,0
Stock changes,1965,-2238,0,0,0,-1145,0,0,0,0,0,0,0,0,0,-3383,0,-2238,-1145,0
Stock changes,1966,-1406,0,0,0,-376,0,0,0,0,0,0,0,0,0,-1782,0,-1406,-376,0
Stock changes,1967,2514,0,0,0,-1479,0,0,0,0,0,0,0,0,0,1035,0,2514,-1479,0
Stock changes,1968,146,0,0,0,-2705,0,0,0,0,0,0,0,0,0,-2559,0,146,-2705,0
Stock changes,1969,842,0,0,0,-167,0,0,0,0,0,0,0,0,0,675,0,842,-167,0
Stock changes,1970,-2720,0,0,-973,-2731,4,0,0,0,0,0,0,0,0,-6420,0,-2720,-3704,0
Stock changes,1971,558,0,0,-3836,-1111,0,0,0,0,0,0,0,0,0,-4388,0,558,-4947,0
Stock changes,1972,-427,0,0,-1853,-412,0,0,0,0,0,0,0,0,0,-2692,0,-427,-2265,0
Stock changes,1973,-929,0,0,-3575,-2001,0,0,0,0,0,0,0,0,0,-6505,0,-929,-5576,0
Stock changes,1974,549,0,0,-5888,-2145,-45,0,0,0,0,0,0,0,0,-7528,0,549,-8032,0
Stock changes,1975,-225,0,0,-2332,2131,-284,0,0,0,0,0,0,0,0,-709,0,-225,-201,0
Stock changes,1976,-261,0,0,-382,-1785,-59,0,0,0,0,0,0,0,0,-2487,0,-261,-2167,0
Stock changes,1977,-1733,0,0,-1637,-2256,-191,0,0,0,0,0,0,0,0,-5818,0,-1733,-3893,0
Stock changes,1978,-739,0,0,-2348,1651,-98,0,0,0,0,0,0,0,0,-1533,0,-739,-697,0
Stock changes,1979,853,0,0,-4172,-2028,-179,0,0,0,0,0,0,0,0,-5525,0,853,-6200,0
Stock changes,1980,1105,0,0,-4849,-211,-76,0,0,0,0,0,0,0,0,-4031,0,1105,-5060,0
Stock changes,1981,430,0,0,-730,3139,30,0,0,0,0,0,0,0,0,2870,0,430,2410,0
Stock changes,1982,-525,0,0,3580,-256,10,0,0,0,0,0,0,0,0,2809,0,-525,3325,0
Stock changes,1983,162,0,0,1847,300,-337,0,0,0,0,0,0,0,0,1974,0,162,2148,0
Stock changes,1984,243,0,0,-965,-300,-158,0,0,0,0,0,0,0,0,-1181,0,243,-1265,0
Stock changes,1985,-12,0,0,-3073,1150,55,0,0,0,0,0,0,0,0,-1880,0,-12,-1923,0
Stock changes,1986,-1515,0,0,-2539,474,-179,0,0,0,0,0,0,0,0,-3758,0,-1515,-2064,0
Stock changes,1987,-604,0,0,-2888,-757,103,0,0,0,0,0,0,0,0,-4146,0,-604,-3645,0
Stock changes,1988,101,0,0,-515,575,-275,0,0,0,0,0,0,0,0,-114,0,101,60,0
Stock changes,1989,211,0,0,-3340,-1703,12,0,0,0,0,0,0,0,0,-4819,0,211,-5042,0
Stock changes,1990,85,0,0,-3093,-476,-91,0,0,0,0,0,0,0,0,-3575,0,85,-3569,0
Stock changes,1991,-347,0,0,470,575,-63,0,0,0,0,0,0,0,0,636,0,-347,1045,0
Stock changes,1992,310,0,0,-814,-125,-167,0,0,0,0,0,0,0,0,-796,0,310,-939,0
Stock changes,1993,494,0,0,-1833,413,-315,0,0,0,0,0,0,0,0,-1240,0,494,-1420,0
